"","Plot","Treatment","Subplot","Year","CWM_LeafArea_Biom","CWM_Nmass_Biom","CWM_LMA_Biom","CWM_PlantHeight_Biom","CWM_DiasporeMass_Biom","CWM_LDMC_Biom"
"1",1,"Insecticide","East",2019,2976.49583638178,15.3501482197705,68.9775478483771,1.57029684434453,3.7389397068848,0.396699766586826
"2",1,"Insecticide","East",2020,1238.73872783346,13.1937649389861,66.4489556089283,1.10912127211285,1.54850389556569,0.227757536402985
"3",1,"Insecticide","East",2021,903.691241500881,14.5802828219693,69.2873826190506,0.88201124307002,2.97669204900939,0.436632618964126
"4",1,"Insecticide","East",2022,3199.72181348849,16.4538807611214,66.7749243415849,1.60945912620786,5.3186919527897,0.409325077296296
"5",1,"Insecticide","East",2023,1067.21156943564,13.8598016670841,65.4305036217089,0.965446025174881,2.36722145976294,0.356563781
"6",1,"Insecticide","East",2024,2276.48432488704,15.0491302213759,69.3803736887415,1.35253647921542,2.60297710347219,0.436385085955899
"7",1,"Insecticide","West",2019,1168.1876905041,13.574943023999,78.6053816970038,0.903349608087255,1.31034038880814,0.437238010287368
"8",1,"Insecticide","West",2020,1108.74387144993,14.9594398688565,63.3239555941443,1.08852453164191,1.71584296218487,NA
"9",1,"Insecticide","West",2021,5189.90292708411,16.7421185056758,64.428363656996,2.22915117667856,6.07603235799059,NA
"10",1,"Insecticide","West",2022,1041.8295473251,15.1259481249541,62.3521882315068,0.964205184528965,2.06257704969927,0.356563781
"11",1,"Insecticide","West",2023,1213.71446808511,14.4130498725,60.5236010251064,1.01928585615426,1.36450904255319,NA
"12",1,"Insecticide","West",2024,2745.29748988649,22.3034793990475,58.2380193162055,1.27980288841642,3.06201199558852,0.230916111
"13",1,"Insecticide","",2010,1090.53750675068,13.3733793675638,65.043504149634,1.18718391504811,1.81036175671597,0.22309330513381
"14",1,"Insecticide","",2011,1328.7241793057,13.502812039892,62.7231171525177,1.18609735990765,1.7477897972973,0.250710704496504
"15",1,"Insecticide","",2012,1243.15026818445,13.7154473444627,62.7782986410573,1.11047436907341,1.78875428280773,0.231808054336207
"16",1,"Insecticide","",2013,1314.80869287184,13.5638345251363,63.7322727078549,1.15605657025661,1.83696387421384,0.228316587672566
"17",1,"Insecticide","",2014,644.827561569689,17.7988132008254,69.0714785503031,0.797118028388217,2.76013271621264,0.356563781
"18",1,"Insecticide","",2015,1084.99617574478,13.9885170697204,64.281426566914,1.14385472096071,1.73366835756264,0.356563781
"19",1,"Insecticide","",2016,938.544581649151,15.4540395691492,71.9405473751051,0.929413414941997,1.99136113301515,0.383016957925082
