"","Plot","Treatment","Year","CWM_LeafArea_Biom_sownSp","CWM_Nmass_Biom_sownSp","CWM_LMA_Biom_sownSp","CWM_PlantHeight_Biom_sownSp","CWM_DiasporeMass_Biom_sownSp","CWM_LDMC_Biom_sownSp","BigBioPlot","NumSp","FgNum","Fgset","C3","C4","Forb","Legume","Woody"
"1",1,"AllPesticides",2007,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"2",1,"AllPesticides",2009,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"3",1,"AllPesticides",2010,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"4",1,"AllPesticides",2011,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"5",1,"AllPesticides",2012,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"6",1,"AllPesticides",2013,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"7",1,"AllPesticides",2014,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"8",1,"AllPesticides",2015,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"9",1,"AllPesticides",2016,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"10",1,"AllPesticides",2017,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"11",1,"AllPesticides",2018,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"12",1,"AllPesticides",2021,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"13",1,"AllPesticides",2022,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"14",1,"AllPesticides",2023,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"15",1,"AllPesticides",2024,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
"16",2,"Insecticide",2007,295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781,29,1,1,"L",0,0,0,1,0
